numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
07954480000179-2-016578/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:38,2027-05-13T00:00:00,2026-05-14T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS - EEMTI MONSENHOR MANOEL CARLOS DE MORAIS - UMARI - CREDE 17,10989.0,10989.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016580/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:56,2027-05-20T00:00:00,2026-05-25T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI FRANCISCO JAGUARIBE - JAGUARUANA - CREDE 10,4260.0,4260.0,07954480000179,ESTADO DO CEARA
02585924000122-2-003756/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:00,2026-11-20T00:00:00,2026-05-22T00:00:00,"O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Alimentação Escolar – PNAE, no(a) EE CÍVICO - MILITAR MARÇAL DE SOUZA TUPÃ-Y, município de CAMPO GRANDE / MS, conforme especificações e quantitativos estabelecidos no Termo de Referência e na Proposta de Preços.",4725.0,4725.0,02585924000122,SECRETARIA DE ESTADO DE EDUCACAO DE MATO GROSSO DO SUL
07954480000179-2-016582/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:03,2027-05-26T00:00:00,2026-05-26T00:00:00,SERVIÇOS TÉCNICOS PROFISSIONAIS - ANTONIA NEDINA ONOFRE DE PAIVA - EEEP - ASSARE - CREDE 18,2244.0,2244.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016579/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:53,2027-05-25T00:00:00,2026-05-25T00:00:00,"MATERIAL PARA ÁUDIO, VÍDEO E FOTO - COORDENADORIA ESTADUAL DE FORMAÇÃO DOCENTE E EDUCAÇÃO A DISTÂNCIA - SOBRAL",7525.0,7525.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016581/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:00,2027-05-21T00:00:00,2026-05-26T00:00:00,FORNECIMENTO DE ALIMENTAÇÃO - SEFOR 1,11700.0,11700.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016583/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:06,2027-05-26T00:00:00,2026-05-26T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI ANTONIO LUIZ COELHO - MARANGUAPE- CREDE 1,2415.0,2415.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016585/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:13,2027-05-19T00:00:00,2026-05-19T00:00:00,AQUISIÇÃO DE CARABINAS ATRAVÉS DA ORDEM DE COMPRA Nº 39818/2026 E ARP Nº 2025/31597 PARA ATENDER AS NECESSIDADES DA POLÍCIA CIVIL.,443993.77,443993.77,07954480000179,ESTADO DO CEARA
07954480000179-2-016584/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:10,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS EM PROL DA EEMTI CORONEL MURILO SERPA - ITAPIPOCA - CREDE 2 -,4580.0,4580.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016586/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:32,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO DE GêNEROS ALIMENTÍCIOS -EMPRESA OMEGA - CEJA PROFESSOR MOREIRA CAMPOS - (SEFOR 1),19685.0,19685.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016587/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:34,2027-05-26T00:00:00,2026-05-26T00:00:00,"ABASTECIMENTO DE ÁGUA POR PESSOA JURÍDICA - 
EEEP FLÁVIO GOMES GRANJEIRO
 -PARAIPABA - CREDE 2",47466.0,47466.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016588/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:37,2027-05-25T00:00:00,2026-05-25T00:00:00,TÉCNICOS PROFISSIONAIS - CONTADOR - EEM DR. UBIRAJARA ÍNDIO DO CEARÁ - (SEFOR 3),129.0,129.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016589/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:42,2027-05-07T00:00:00,2026-05-07T00:00:00,"Manutenção preventiva e corretiva das instalações físicas prediais, com fornecimento de mão de obra, materiais e peças de reposição, para atender as necessidades da Secretaria das Mulheres (Casa da Mulher Brasileira - CMB).",381386.99,381386.99,07954480000179,ESTADO DO CEARA
07954480000179-2-016590/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:48,2027-03-21T00:00:00,2026-05-25T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI ANTONIO VIDAL MALVEIRA - TABULEIRO DO NORTE - CREDE 10,1881.0,1881.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016591/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:51,2027-05-25T00:00:00,2026-05-25T00:00:00,"Contratação de serviços de Médico Cirurgião Geral, abrangendo horas de trabalho para o HPM",4057934.27,4057934.27,07954480000179,ESTADO DO CEARA
